name,pbo_appearances
Ellis Zorro,11
Emiliano Vargas,11
Erik Bazinyan,11
Gavin Gwynne,11
Gervonta Davis,11
Henry Turner,11
Jack Catterall,11
Jack Massey,11
Jahi Tucker,11
Jamaine Ortiz,11
Jamel Herring,11
Jason Moloney,11
Jimmy Sains,11
Joet Gonzalez,11
Jordan Ellison,11
Jose Zepeda,11
Josh Taylor,11
Joshua Frankham,11
Kamil Sokolowski,11
Kane Baker,11
Karriss Artingstall,11
Kenshiro Teraji,11
Kevin Johnson,11
Kim Clavel,11
Kubrat Pulev,11
Kurt Walker,11
Lamont Roach,11
Leigh Wood,11
Lewis Ritson,11
Mario Barrios,11
Marlen Esparza,11
Murodjon Akhmadaliev,11
Nathan Heaney,11
Nikita Tszyu,11
Ohara Davies,11
Regis Prograis,11
Robeisy Ramirez,11
Savannah Marshall,11
Sergey Lipinets,11
Shannon Ryan,11
Tevin Farmer,11
Viddal Riley,11
Andrew Moloney,10
Angel Fierro,10
Archie Sharp,10
Badou Jack,10
Ben Whittaker,10
Brian Norman Jr,10
Caleb Plant,10
Callum Smith,10
Callum Walsh,10
Caoimhin Agyarko,10
Carlos Adames,10
Charles Conwell,10
Conah Walker,10
David Avanesyan,10
David Nyika,10
Eduardo Ramirez,10
Eimantas Stanionis,10
Erickson Lubin,10
Euri Cedeno,10
Felix Cash,10
Florian Marku,10
Floyd Schofield,10
Gary Cully,10
George Kambosos Jr,10
George Liddard,10
Giorgio Visioli,10
Grant Dennis,10
Javier Martinez,10
Jessica McCaskill,10
Jono Carroll,10
Jordan Gill,10
Joseph Adorno,10
Josh Warrington,10
Kerman Lejarraga,10
Kevin Lele Sadjo,10
Koen Mazoudier,10
Liam Davies,10
Liam Smith,10
Liam Williams,10
Luis Alberto Lopez,10
Michael Zerafa,10
Michal Cieslak,10
Mickey Ellison,10
Mykquan Williams,10
Osleys Iglesias,10
Paul Gallen,10
Rene Tellez Giron,10
Robbie Davies Jr,10
Rolando Romero,10
Ryan Garner,10
Sam Eggington,10
Sam Gilley,10
Seniesa Estrada,10
Shakhram Giyasov,10
Stephen Fulton,10
Subriel Matias,10
Takuma Inoue,10
Terence Crawford,10
Thomas Essomba,10
Tommy McCarthy,10
Tsendbaatar Erdenebat,10
Wade Ryan,10
William Zepeda,10
Aaron Bowen,9
Agit Kabayel,9
Alex Martin,9
Aloys Youmbi,9
Alycia Baumgardner,9
Andy Cruz,9
Anthony Cacace,9
Anthony Sims Jr,9
Artjom Spatar,9
Brad Foster,9
Brandon Glanton,9
Brock Jarvis,9
Callum Simpson,9
Cesar Mateo Tapia,9
Charlie Edwards,9
Chris Kongo,9
Christopher Diaz,9
Cyrus Pattinson,9
Darragh Foley,9
David Morrell,9
Dereck Chisora,9
Dillian Whyte,9
Dina Thorslund,9
Eduardo Hernandez,9
Edward Vazquez,9
Elijah Pierce,9
Emmanuel Rodriguez,9
Eric Tudor,9
Erislandy Lara,9
Ernesto Mercado,9
Ezra Taylor,9
Francesco Patera,9
Frank Sanchez,9
Gabriel Gollaz Valenzuela,9
Gabriel Rosado,9
Gabriela Fundora,9
Germaine Brown,9
Hassan Azim,9
Ionut Baluta,9
Isaac Lowe,9
James Dickens,9
Jayson Velez,9
Joel Camilleri,9
Joey Dawejko,9
John Ryder,9
Jose Carlos Ramirez,9
Jose Valenzuela,9
Juan Carlos Burgos,9
Kevin Lerena,9
Khalil Coe,9
Lewis Crocker,9
Liam Paro,9
Maisey Rose Courtney,9
Marc Castro,9
Mariusz Wach,9
Mark Jeffers,9
Michael Hunter,9
Michael Magnesi,9
Nonito Donaire,9
