fight_date,boxer_a,boxer_b,winner,method,round,weight_class,location,source_url
2017-07-15,Ryan Garcia,Mario Macias,Ryan Garcia,ko,1,,"The Forum, Inglewood, California, U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2017-05-06,Ryan Garcia,Tyrone Luckey,Ryan Garcia,tko,2,,"T-Mobile Arena , Paradise, Nevada , U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2017-02-03,Ryan Garcia,Devon Jonnes,Ryan Garcia,ko,2,,"Belasco Theater , Los Angeles, California, U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-12-17,Ryan Garcia,José Antonio Martínez,Ryan Garcia,ko,2,,"The Forum , Inglewood, California , U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-10-14,Ryan Garcia,Mario Aguirre,Ryan Garcia,tko_corner,2,,"Sportsmen's Lodge , Studio City, California , U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-08-17,Ryan Garcia,Jonathan Cruz,Ryan Garcia,tko,2,,"Exchange LA, Los Angeles, California , U.S.",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-07-27,Ryan Garcia,Cristian Jesus Cruz,Ryan Garcia,decision_unanimous,4,,"Rancho Grande Bar, Tijuana, Baja California, Mexico",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-07-07,Ryan Garcia,Luis Lozano,Ryan Garcia,tko,1,,"Rancho Grande Bar, Tijuana, Baja California, Mexico",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-06-24,Ryan Garcia,Hector García,Ryan Garcia,tko,1,,"Billar El Perro Salado, Tijuana, Baja California, Mexico",https://en.wikipedia.org/wiki/Ryan_Garcia
2016-06-09,Ryan Garcia,Edgar Meza,Ryan Garcia,tko,1,,"Rancho Grande Bar, Tijuana, Baja California , Mexico",https://en.wikipedia.org/wiki/Ryan_Garcia
2026-01-31,Xander Zayas,Abass Baraou,Xander Zayas,decision_split,12,,"José Miguel Agrelot Coliseum , San Juan, Puerto Rico",https://en.wikipedia.org/wiki/Xander_Zayas
2025-07-26,Xander Zayas,Jorge Garcia Perez,Xander Zayas,decision_unanimous,12,,"Madison Square Garden Theater, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2025-02-14,Xander Zayas,Slawa Spomer,Xander Zayas,tko,9,,"Madison Square Garden Theater, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2024-09-28,Xander Zayas,Damian Sosa,Xander Zayas,decision_unanimous,10,,"Madison Square Garden Theater, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2024-06-08,Xander Zayas,Patrick Teixeira,Xander Zayas,decision_unanimous,10,,"Madison Square Garden Theater, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2023-12-12,Xander Zayas,Jorge Fortea,Xander Zayas,ko,5,,"Charles F. Dodge City Center, Pembroke Pines, Florida , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2023-09-15,Xander Zayas,Roberto Valenzuela Jr.,Xander Zayas,tko,5,,"American Bank Center , Corpus Christi , Texas , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2023-06-10,Xander Zayas,Ronald Cruz,Xander Zayas,decision_unanimous,8,,"Madison Square Garden Theater, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2022-12-10,Xander Zayas,Alexis Salazar,Xander Zayas,decision_unanimous,8,,"Madison Square Garden, New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2022-08-13,Xander Zayas,Elias Espadas,Xander Zayas,tko,5,,"Resorts World Las Vegas , Winchester, Nevada , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2022-03-19,Xander Zayas,Quincy Lavallais,Xander Zayas,decision_unanimous,8,,"Madison Square Garden Theater , New York City, New York, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-12-11,Xander Zayas,Alessio Mastronunzio,Xander Zayas,tko,1,,"Madison Square Garden , New York City, New York , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-10-23,Xander Zayas,Dan Karpency,Xander Zayas,tko_corner,4,,"State Farm Arena , Atlanta , Georgia , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-09-10,Xander Zayas,Jose Luis Sanchez,Xander Zayas,decision_unanimous,6,,"Casino Del Sol, Tucson, Arizona , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-06-12,Xander Zayas,Larry Fryers,Xander Zayas,tko,3,,"Virgin Hotels Las Vegas , Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-04-24,Xander Zayas,DeMarcus Layton,Xander Zayas,tko,1,,"Silver Spurs Arena, Kissimmee, Florida, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2021-02-20,Xander Zayas,James Martin,Xander Zayas,decision_unanimous,6,,"MGM Grand Conference Center, Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2020-10-16,Xander Zayas,Anthony Curtiss,Xander Zayas,tko,1,,"Osceola Heritage Park, Kissimmee, Florida, U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2020-09-04,Xander Zayas,Orlando Salgado,Xander Zayas,tko,1,,"Osceola Heritage Park, Kissimmee, Florida , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2020-02-28,Xander Zayas,Marklin Bailey,Xander Zayas,tko,3,,"Rubén Zayas Montañez Coliseum, Trujillo Alto , Puerto Rico",https://en.wikipedia.org/wiki/Xander_Zayas
2020-01-11,Xander Zayas,Corey Champion,Xander Zayas,decision_unanimous,4,,"Hard Rock Live , Atlantic City, New Jersey , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2019-11-30,Xander Zayas,Virgel Windfield,Xander Zayas,tko,1,,"Cosmopolitan of Las Vegas , Paradise, Nevada , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2019-10-26,Xander Zayas,Genesis Wynn,Xander Zayas,ko,1,,"Reno-Sparks Convention Center , Reno, Nevada , U.S.",https://en.wikipedia.org/wiki/Xander_Zayas
2025-02-22,Joseph Parker,Martin Bakole,Joseph Parker,tko,2,,"The Venue Riyadh Season, Riyadh, Saudi Arabia",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2024-03-08,Joseph Parker,Zhilei Zhang,Joseph Parker,decision_majority,12,,"Kingdom Arena, Riyadh, Saudi Arabia",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2023-12-23,Joseph Parker,Deontay Wilder,Joseph Parker,decision_unanimous,12,,"Kingdom Arena, Riyadh, Saudi Arabia",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2023-10-28,Joseph Parker,Simon Kean,Joseph Parker,ko,3,,"Kingdom Arena , Riyadh , Saudi Arabia",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2023-05-24,Joseph Parker,Faiga Opelu,Joseph Parker,tko,1,,"Margaret Court Arena , Melbourne , Australia",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2023-01-21,Joseph Parker,Jack Massey,Joseph Parker,decision_unanimous,10,,"Manchester Arena, England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2022-09-24,Joseph Parker,Joe Joyce,Joe Joyce,ko,11,,"Manchester Arena, Manchester, England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2021-12-18,Joseph Parker,Derek Chisora,Joseph Parker,decision_unanimous,12,,"Manchester Arena, Manchester, England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2021-05-01,Joseph Parker,Derek Chisora,Joseph Parker,decision_split,12,,"Manchester Arena , Manchester, England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2021-02-27,Joseph Parker,Junior Fa,Joseph Parker,decision_unanimous,12,,"Spark Arena , Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2020-02-29,Joseph Parker,Shawndell Winters,Joseph Parker,tko,5,,"Ford Center at The Star , Frisco , Texas , US",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2019-06-29,Joseph Parker,Alex Leapai,Joseph Parker,tko,10,,"Dunkin' Donuts Center , Providence , Rhode Island , US",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2018-12-15,Joseph Parker,Alexander Flores,Joseph Parker,ko,3,,"Horncastle Arena, Christchurch, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2018-07-28,Joseph Parker,Dillian Whyte,Dillian Whyte,decision_unanimous,12,,"The O2 Arena , London , England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2018-03-31,Joseph Parker,Anthony Joshua,Anthony Joshua,decision_unanimous,12,,"Millennium Stadium , Cardiff , Wales",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2017-09-23,Joseph Parker,Hughie Fury,Joseph Parker,decision_majority,12,,"Manchester Arena , Manchester , England",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2017-05-06,Joseph Parker,Răzvan Cojanu,Joseph Parker,decision_unanimous,12,,"Vodafone Events Centre, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2016-12-10,Joseph Parker,Andy Ruiz Jr.,Joseph Parker,decision_majority,12,,"Vector Arena , Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2016-10-01,Joseph Parker,Alexander Dimitrenko,Joseph Parker,ko,3,,"Vodafone Events Centre, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2016-07-21,Joseph Parker,Solomon Haumono,Joseph Parker,tko,4,,"Horncastle Arena , Christchurch, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2016-05-21,Joseph Parker,Carlos Takam,Joseph Parker,decision_unanimous,12,,"Vodafone Events Centre, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2016-01-23,Joseph Parker,Jason Bergman,Joseph Parker,tko,8,,"Faleata Sports Complex , Apia , Samoa",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2015-12-05,Joseph Parker,Daniel Martz,Joseph Parker,tko,1,,"Claudelands Arena, Hamilton, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2015-10-15,Joseph Parker,Kali Meehan,Joseph Parker,tko,3,,"The Trusts Arena, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2015-08-01,Joseph Parker,Bowie Tupou,Joseph Parker,ko,1,,"Stadium Southland , Invercargill , New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2015-06-13,Joseph Parker,Yakup Saglam,Joseph Parker,tko,2,,"Arena Manawatu , Palmerston North , New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2015-03-05,Joseph Parker,Jason Pettaway,Joseph Parker,ko,4,,"Vodafone Events Centre, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2014-12-06,Joseph Parker,Irineu Beato Costa Junior,Joseph Parker,ko,4,,"Claudelands Arena , Hamilton , New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2014-10-16,Joseph Parker,Sherman Williams,Joseph Parker,decision_unanimous,10,,"The Trusts Arena, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2014-08-09,Joseph Parker,Keith Thompson,Joseph Parker,tko,3,,"Sands Bethlehem Event Center , Bethlehem , Pennsylvania , US",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2014-07-05,Joseph Parker,Brian Minto,Joseph Parker,tko_corner,7,,"Vodafone Events Centre , Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2014-04-26,Joseph Parker,Marcelo Nascimento,Joseph Parker,tko,7,,"König Pilsener Arena , Oberhausen , Germany",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2013-10-10,Joseph Parker,Afa Tatupu,Joseph Parker,tko,2,,"The Trusts Arena, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2013-06-13,Joseph Parker,Francois Botha,Joseph Parker,tko,2,,"The Trusts Arena, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2013-05-16,Joseph Parker,Brice Ritani-Coe,Joseph Parker,decision_unanimous,6,,"Hyatt Regency , Irvine , California , US",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2013-02-28,Joseph Parker,Dontay Pati,Joseph Parker,tko,1,,"Hornby Working Men's Club, Christchurch , New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2012-12-15,Joseph Parker,Richard Tutaki,Joseph Parker,tko,3,,"The Trusts Arena, Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2012-11-09,Joseph Parker,Terry Tuteru,Joseph Parker,ko,2,,"The Trusts Arena , Auckland, New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2012-07-05,Joseph Parker,Dean Garmonsway,Joseph Parker,tko,2,,"SkyCity Convention Centre , Auckland , New Zealand",https://en.wikipedia.org/wiki/Joseph_Parker_(boxer)
2026-04-04,Tim Tszyu,Denis Nurja,Tim Tszyu,decision_unanimous,10,,"Wollongong Entertainment Centre , Wollongong , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2025-12-17,Tim Tszyu,Anthony Velazquez,Tim Tszyu,decision_unanimous,10,,"TikTok Entertainment Centre, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2025-04-06,Tim Tszyu,Joseph Spencer,Tim Tszyu,tko,4,,"Entertainment Centre, Newcastle, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2024-10-19,Tim Tszyu,Bakhram Murtazaliev,Bakhram Murtazaliev,tko,3,,"Caribe Royale, Orlando, Florida , U.S.",https://en.wikipedia.org/wiki/Tim_Tszyu
2023-10-15,Tim Tszyu,Brian Mendoza,Tim Tszyu,decision_unanimous,12,,"Convention and Exhibition Centre, Gold Coast, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2023-06-18,Tim Tszyu,Carlos Ocampo,Tim Tszyu,ko,1,,"Convention and Exhibition Centre , Gold Coast, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2023-03-12,Tim Tszyu,Tony Harrison,Tim Tszyu,tko,9,,"Qudos Bank Arena, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2022-03-26,Tim Tszyu,Terrell Gausha,Tim Tszyu,decision_unanimous,12,,"Minneapolis Armory , Minneapolis, Minnesota , U.S.",https://en.wikipedia.org/wiki/Tim_Tszyu
2021-11-17,Tim Tszyu,Takeshi Inoue,Tim Tszyu,decision_unanimous,12,,"Qudos Bank Arena , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2021-07-07,Tim Tszyu,Steve Spark,Tim Tszyu,tko,3,,"Entertainment Centre, Newcastle, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2021-03-31,Tim Tszyu,Dennis Hogan,Tim Tszyu,tko,5,,"Entertainment Centre , Newcastle , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2020-12-16,Tim Tszyu,Bowyn Morgan,Tim Tszyu,tko,1,,"Bankwest Stadium , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2020-08-26,Tim Tszyu,Jeff Horn,Tim Tszyu,tko_corner,8,,"Queensland Country Bank Stadium , Townsville , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2019-12-06,Tim Tszyu,Jack Brubaker,Tim Tszyu,tko,4,,"International Convention Centre, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2019-08-14,Tim Tszyu,Dwight Ritchie,Tim Tszyu,decision_unanimous,10,,"International Convention Centre , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2019-05-15,Tim Tszyu,Joel Camilleri,Tim Tszyu,decision_unanimous,10,,"The Star, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2019-02-08,Tim Tszyu,Denton Vassell,Tim Tszyu,tko,2,,"Hordern Pavilion , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2018-09-08,Tim Tszyu,Marcos Jesus Cornejo,Tim Tszyu,tko,1,,"Bendigo Stadium , Bendigo , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2018-08-03,Tim Tszyu,Stevie Ongen Ferdinandus,Tim Tszyu,ko,1,,"Technology Park , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2018-05-24,Tim Tszyu,Larry Siwu,Tim Tszyu,tko,4,,"The Star, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2018-04-07,Tim Tszyu,Ruben Webster,Tim Tszyu,tko,5,,"Convention & Exhibition Centre , Brisbane , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-10-22,Tim Tszyu,Wade Ryan,Tim Tszyu,decision_unanimous,10,,"The Star , Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-07-22,Tim Tszyu,Christopher Khan,Tim Tszyu,tko,2,,"Rumours International, Toowoomba , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-05-22,Tim Tszyu,Adam Fitzsimmons,Tim Tszyu,tko_corner,3,,"QT Hotel , Gold Coast , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-05-06,Tim Tszyu,Ivana Siau,Tim Tszyu,tko,2,,"Vodafone Events Centre , Auckland , New Zealand",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-04-08,Tim Tszyu,Ben Nelson,Tim Tszyu,tko,3,,"Doltone House, Sydney, Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2017-02-03,Tim Tszyu,Mark Dalby,Tim Tszyu,tko,3,,"Adelaide Oval , Adelaide , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2016-12-17,Tim Tszyu,Zorran Cassady,Tim Tszyu,decision_unanimous,6,,"Sydney Cricket Ground , Sydney , Australia",https://en.wikipedia.org/wiki/Tim_Tszyu
2025-11-08,Vergil Ortiz Jr.,Erickson Lubin,Vergil Ortiz Jr.,tko,2,,"Dickies Arena, Fort Worth, Texas, USA",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2025-02-22,Vergil Ortiz Jr.,Israil Madrimov,Vergil Ortiz Jr.,decision_unanimous,12,,"The Venue Riyadh Season, Riyadh , Saudi Arabia",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2024-08-10,Vergil Ortiz Jr.,Serhii Bohachuk,Vergil Ortiz Jr.,decision_majority,12,,"Michelob Ultra Arena , Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2024-04-27,Vergil Ortiz Jr.,Thomas Dulorme,Vergil Ortiz Jr.,ko,1,,"Save Mart Center , Fresno, California , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2024-01-06,Vergil Ortiz Jr.,Fredrick Lawson,Vergil Ortiz Jr.,tko,1,,"Virgin Hotels Las Vegas , Paradise, Nevada, U.S",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2022-08-06,Vergil Ortiz Jr.,Michael McKinson,Vergil Ortiz Jr.,tko,9,,"Dickies Arena, Fort Worth, Texas, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2021-08-14,Vergil Ortiz Jr.,Egidijus Kavaliauskas,Vergil Ortiz Jr.,tko,8,,"Ford Center at The Star , Frisco, Texas, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2021-03-20,Vergil Ortiz Jr.,Maurice Hooker,Vergil Ortiz Jr.,tko,7,,"Dickies Arena , Fort Worth, Texas , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2020-07-24,Vergil Ortiz Jr.,Samuel Vargas,Vergil Ortiz Jr.,tko,7,,"Fantasy Springs Resort Casino, Indio, California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2019-12-13,Vergil Ortiz Jr.,Brad Solomon,Vergil Ortiz Jr.,ko,5,,"Fantasy Springs Resort Casino, Indio, California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2019-08-10,Vergil Ortiz Jr.,Antonio Orozco,Vergil Ortiz Jr.,ko,6,,"The Theatre at Grand Prairie , Grand Prairie, Texas , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2019-05-04,Vergil Ortiz Jr.,Mauricio Herrera,Vergil Ortiz Jr.,ko,3,,"T-Mobile Arena, Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2019-01-26,Vergil Ortiz Jr.,Jesus A Valdez Barrayan,Vergil Ortiz Jr.,tko_corner,5,,"Toyota Center , Houston , Texas, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2018-09-15,Vergil Ortiz Jr.,Roberto Ortiz,Vergil Ortiz Jr.,tko,2,,"T-Mobile Arena, Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2018-06-23,Vergil Ortiz Jr.,Juan Carlos Salgado,Vergil Ortiz Jr.,ko,3,,"Belasco Theater , Los Angeles , California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2018-02-22,Vergil Ortiz Jr.,Jesus Alvarez Rodriguez,Vergil Ortiz Jr.,tko,3,,"Fantasy Springs Resort Casino, Indio, California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2017-11-16,Vergil Ortiz Jr.,Evandro Cavalheiro,Vergil Ortiz Jr.,tko,1,,"Polifórum Benito Juárez , Cancún , Mexico",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2017-09-16,Vergil Ortiz Jr.,Cesar Valenzuela,Vergil Ortiz Jr.,tko,2,,"T-Mobile Arena , Paradise, Nevada, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2017-06-17,Vergil Ortiz Jr.,Ricardo Alan Fernandez,Vergil Ortiz Jr.,tko,1,,"Tostitos Championship Plaza, Frisco, Texas , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2017-05-05,Vergil Ortiz Jr.,Angel Sarinana,Vergil Ortiz Jr.,tko,3,,"MGM Grand Garden Arena , Paradise, Nevada , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2017-01-28,Vergil Ortiz Jr.,Israel Villela,Vergil Ortiz Jr.,ko,1,,"Fantasy Springs Resort Casino, Indio, California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2016-12-16,Vergil Ortiz Jr.,Nestor Garcia,Vergil Ortiz Jr.,ko,1,,"Fantasy Springs Resort Casino, Indio, California, U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2016-09-17,Vergil Ortiz Jr.,Ernesto Hernandez,Vergil Ortiz Jr.,ko,1,,"AT&T Stadium , Arlington, Texas , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2016-07-30,Vergil Ortiz Jr.,Julio Rodas,Vergil Ortiz Jr.,ko,1,,"Fantasy Springs Resort Casino , Indio, California , U.S.",https://en.wikipedia.org/wiki/Vergil_Ortiz_Jr.
2025-12-19,Anthony Joshua,Jake Paul,Anthony Joshua,ko,6,,"Kaseya Center , Miami, Florida , US",https://en.wikipedia.org/wiki/Anthony_Joshua
2024-03-08,Anthony Joshua,Francis Ngannou,Anthony Joshua,ko,2,,"Kingdom Arena, Riyadh, Saudi Arabia",https://en.wikipedia.org/wiki/Anthony_Joshua
2023-12-23,Anthony Joshua,Otto Wallin,Anthony Joshua,tko_corner,5,,"Kingdom Arena , Riyadh , Saudi Arabia",https://en.wikipedia.org/wiki/Anthony_Joshua
2023-08-12,Anthony Joshua,Robert Helenius,Anthony Joshua,ko,7,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2023-04-01,Anthony Joshua,Jermaine Franklin,Anthony Joshua,decision_unanimous,12,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2020-12-12,Anthony Joshua,Kubrat Pulev,Anthony Joshua,ko,9,,"Wembley Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2019-12-07,Anthony Joshua,Andy Ruiz Jr.,Anthony Joshua,decision_unanimous,12,,"Diriyah Arena , Diriyah , Saudi Arabia",https://en.wikipedia.org/wiki/Anthony_Joshua
2019-06-01,Anthony Joshua,Andy Ruiz Jr.,Andy Ruiz Jr.,tko,7,,"Madison Square Garden , New York City, New York , US",https://en.wikipedia.org/wiki/Anthony_Joshua
2018-09-22,Anthony Joshua,Alexander Povetkin,Anthony Joshua,tko,7,,"Wembley Stadium, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2017-10-28,Anthony Joshua,Carlos Takam,Anthony Joshua,tko,10,,"Principality Stadium , Cardiff, Wales",https://en.wikipedia.org/wiki/Anthony_Joshua
2017-04-29,Anthony Joshua,Wladimir Klitschko,Anthony Joshua,tko,11,,"Wembley Stadium, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2016-12-10,Anthony Joshua,Éric Molina,Anthony Joshua,tko,3,,"Manchester Arena , Manchester, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2016-06-25,Anthony Joshua,Dominic Breazeale,Anthony Joshua,tko,7,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2016-04-09,Anthony Joshua,Charles Martin,Anthony Joshua,ko,2,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2015-12-12,Anthony Joshua,Dillian Whyte,Anthony Joshua,tko,7,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2015-09-12,Anthony Joshua,Gary Cornish,Anthony Joshua,tko,1,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2015-05-30,Anthony Joshua,Kevin Johnson,Anthony Joshua,tko,2,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2015-05-09,Anthony Joshua,Raphael Zumbano Love,Anthony Joshua,tko,2,,"Barclaycard Arena , Birmingham , England",https://en.wikipedia.org/wiki/Anthony_Joshua
2015-04-04,Anthony Joshua,Jason Gavern,Anthony Joshua,ko,3,,"Metro Radio Arena , Newcastle , England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-11-22,Anthony Joshua,Michael Sprott,Anthony Joshua,tko,1,,"Echo Arena, Liverpool, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-10-11,Anthony Joshua,Denis Bakhtov,Anthony Joshua,tko,2,,"The O2 Arena, London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-09-13,Anthony Joshua,Konstantin Airich,Anthony Joshua,tko,3,,"Phones 4u Arena , Manchester , England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-07-12,Anthony Joshua,Matt Skelton,Anthony Joshua,tko,2,,"Echo Arena , Liverpool , England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-05-31,Anthony Joshua,Matt Legg,Anthony Joshua,ko,1,,"Wembley Stadium , London, England",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-03-01,Anthony Joshua,Héctor Alfredo Ávila,Anthony Joshua,ko,1,,"Exhibition and Conference Centre , Glasgow , Scotland",https://en.wikipedia.org/wiki/Anthony_Joshua
2014-02-01,Anthony Joshua,Dorian Darch,Anthony Joshua,tko,2,,"Motorpoint Arena , Cardiff , Wales",https://en.wikipedia.org/wiki/Anthony_Joshua
