event_id,event_date,matchup_id,fighter_a,fighter_b,price_a,price_b,n_books_a,n_books_b,market_prob_a,market_prob_b,weight_class
922,2018-12-01,4423,Isaac Lowe,Lucas Rafael Baez,-5000,1200,1,1,0.927246790299572,0.07275320970042796,
922,2018-12-01,4422,Chris Arreola,Maurenzo Smith,-3333,1000,1,1,0.9143804868316042,0.08561951316839586,
922,2018-12-01,4421,Adonis Stevenson,Oleksandr Gvozdyk,175,-227,1,1,0.3437582128777924,0.6562417871222076,
922,2018-12-01,4142,Deontay Wilder,Tyson Fury,120,-152,1,1,0.4297407912687586,0.5702592087312415,
922,2018-12-01,4402,Luis Ortiz,Travis Kauffman,-2500,1000,1,1,0.9136212624584718,0.08637873754152824,
922,2018-12-01,4401,Joe Hanks,Joe Joyce,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
922,2018-12-01,4400,Jarrett Hurd,Jason Welborn,-2000,900,1,1,0.9049773755656108,0.09502262443438914,
977,2018-12-07,6477,Gabor Gorbics,Gary O'Sullivan,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
977,2018-12-07,6478,Christian Uruzquieta,Ray Moylette,400,-714,1,1,0.18567518248175185,0.8143248175182483,
950,2018-12-08,6487,Anthony Fowler,Jose Carlos Paz,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
950,2018-12-08,4428,Emanuel Navarrete,Isaac Dogboe,600,-1250,1,1,0.13366336633663364,0.8663366336633663,
950,2018-12-08,4385,Kell Brook,Michael Zerafa,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
950,2018-12-08,6490,Thabiso McHunu,Thomas Oosthuizen,100,-139,1,1,0.4622823984526112,0.5377176015473888,
950,2018-12-08,6491,Miguel Vazquez,Thulani Mbenge,400,-714,1,1,0.18567518248175185,0.8143248175182483,
950,2018-12-08,6482,Filip Hrgovic,Kevin Johnson,-2500,800,1,1,0.8964143426294822,0.10358565737051792,
950,2018-12-08,6483,Bryan Mairena,Kid Galahad,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
950,2018-12-08,5300,David Avanesyan,Josh Kelly,600,-1250,1,1,0.13366336633663364,0.8663366336633663,
950,2018-12-08,5299,Guillaume Frenois,Jono Carroll,240,-333,1,1,0.27664196268847435,0.7233580373115257,
950,2018-12-08,6484,Mason Menard,Teofimo Lopez,1200,-5000,1,1,0.07275320970042796,0.927246790299572,
950,2018-12-08,6486,Aleksandra Magdziak Lopes,Cecilia Braekhus,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
950,2018-12-08,6485,Claressa Shields,Femke Hermans,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
950,2018-12-08,4296,Jose Pedraza,Vasyl Lomachenko,1000,-2500,1,1,0.08637873754152824,0.9136212624584718,
979,2018-12-14,6526,Larry Ekundayo,Louis Greene,-400,275,1,1,0.75,0.25,
979,2018-12-14,6527,Adeilson Dos Santos,Jamel Herring,1200,-3333,1,1,0.0734143107651512,0.9265856892348489,
979,2018-12-14,6525,Akeem Ennis Brown,Darragh Foley,-120,-120,1,1,0.5,0.5,
979,2018-12-14,6516,Gilberto Ramirez,Jesse Hart,-455,300,1,1,0.7663157894736842,0.23368421052631577,
954,2018-12-15,6539,Omar Tienda,Vergil Ortiz Jr,1800,-10000,1,1,0.050474762618690654,0.9495252373813095,
954,2018-12-15,6538,Braulio Rodriguez,Ryan Garcia,1200,-3333,1,1,0.0734143107651512,0.9265856892348489,
954,2018-12-15,6493,Eva Wahlstroem,Katie Taylor,1100,-5000,1,1,0.07834101382488479,0.9216589861751152,
954,2018-12-15,4309,Rocky Fielding,Saul Alvarez,800,-1667,1,1,0.10536672629695885,0.8946332737030412,
954,2018-12-15,6529,Dennis Hogan,Jamie Weetch,-625,350,1,1,0.795053003533569,0.2049469964664311,
954,2018-12-15,6523,Alexander Flores,Joseph Parker,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
954,2018-12-15,6548,Bradley Skeete,Diego Ramirez,-10000,1200,1,1,0.92790863668808,0.07209136331192006,
954,2018-12-15,6524,Junior Granados,Sunny Edwards,900,-3333,1,1,0.09338193292168756,0.9066180670783124,
954,2018-12-15,6528,David Lemieux,Tureano Johnson,-500,333,1,1,0.783001808318264,0.21699819168173598,
954,2018-12-15,6530,Mauricio Herrera,Sadam Ali,600,-1250,1,1,0.13366336633663364,0.8663366336633663,
954,2018-12-15,6547,Alberto Mercado,Lamont Roach,333,-500,1,1,0.21699819168173598,0.783001808318264,
954,2018-12-15,6531,Francisco Fonseca,Tevin Farmer,800,-2000,1,1,0.1044776119402985,0.8955223880597014,
944,2018-12-22,6572,Jermall Charlo,Matt Korobov,-2500,1000,1,1,0.9136212624584718,0.08637873754152824,
944,2018-12-22,6568,Joshua Buatsi,Renold Quinlan,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
944,2018-12-22,4416,Jason Cunningham,Michael Conlan,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
944,2018-12-22,6479,Charlie Edwards,Cristofer Rosales,162,-227,1,1,0.3547638162605507,0.6452361837394492,
944,2018-12-22,6481,Liam Williams,Mark Heffron,150,-200,1,1,0.375,0.625,
944,2018-12-22,4379,Dereck Chisora,Dillian Whyte,225,-278,1,1,0.2949668357393679,0.705033164260632,
944,2018-12-22,3985,Carl Frampton,Josh Warrington,-227,187,1,1,0.665811607681223,0.33418839231877684,
944,2018-12-22,6604,Billy Joe Saunders,Charles Adamu,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
944,2018-12-22,6567,Jevgenijs Andrejevs,Tommy Fury,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
944,2018-12-22,6603,Carlos Takam,Senad Gashi,-3333,900,1,1,0.9066180670783124,0.09338193292168756,
944,2018-12-22,6549,David Price,Tom Little,-500,333,1,1,0.783001808318264,0.21699819168173598,
944,2018-12-22,6564,Reece Bellotti,Ryan Walsh,125,-175,1,1,0.41121495327102797,0.5887850467289719,
944,2018-12-22,6546,Nathan Gorman,Razvan Cojanu,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
944,2018-12-22,6492,Hassan N Jikam,Martin Murray,175,-250,1,1,0.3373493975903614,0.6626506024096386,
944,2018-12-22,6565,Carlos Negron,Dominic Breazeale,1000,-2500,1,1,0.08637873754152824,0.9136212624584718,
944,2018-12-22,6566,Jermell Charlo,Tony Harrison,-1429,700,1,1,0.8820307075071367,0.1179692924928632,
732,2018-12-31,6645,Masahiro Sakamoto,Moruti Mthalane,175,-250,1,1,0.3373493975903614,0.6626506024096386,
732,2018-12-31,6642,Hekkie Budler,Hiroto Kyoguchi,200,-278,1,1,0.3118811881188118,0.6881188118811881,
732,2018-12-31,6641,Donnie Nietes,Kazuto Ioka,162,-227,1,1,0.3547638162605507,0.6452361837394492,
976,2019-01-11,6684,Ruben Cervera,Ruben Villa,800,-1667,1,1,0.10536672629695885,0.8946332737030412,
976,2019-01-11,6683,Frank Sanchez Faure,Willie Jake Jr,-909,500,1,1,0.843880550827789,0.15611944917221104,
976,2019-01-11,6685,Devin Haney,Xolisani Ndongeni,-5000,1400,1,1,0.9363295880149812,0.06367041198501872,
975,2019-01-12,6678,Lindolfo Delgado,Martin Nicolas Matamala,-5000,1400,1,1,0.9363295880149812,0.06367041198501872,
983,2019-01-13,6698,Juan Antonio Lopez,Mike Plania,1200,-3333,1,1,0.0734143107651512,0.9265856892348489,
983,2019-01-13,6655,Giovanni Delgado,Guillermo Rigondeaux,1800,-10000,1,1,0.050474762618690654,0.9495252373813095,
983,2019-01-13,6654,Brandon Figueroa,Moises Flores,-1667,800,1,1,0.8946332737030412,0.10536672629695885,
983,2019-01-13,6653,Caleb Plant,Jose Uzcategui,130,-164,1,1,0.41172800998128506,0.5882719900187149,
983,2019-01-13,6699,Lindolfo Delgado,Sergio Lopez,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
983,2019-01-13,6679,Ivan Redkach,Nicolas Atilio Velazquez,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
983,2019-01-13,6676,Fernando Garcia,Isao Gonzalo Carranza,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
983,2019-01-13,6681,Kevin Watts,Ryan Karl,137,-175,1,1,0.3986951794128307,0.6013048205871693,
983,2019-01-13,6680,Angel Monrreal,Viktor Slavinskyi,1800,-10000,1,1,0.050474762618690654,0.9495252373813095,
983,2019-01-13,6677,Ahmed Elbiali,Allan Green,-1000,550,1,1,0.8552631578947368,0.14473684210526316,
984,2019-01-18,6657,Chris Algieri,Daniel Gonzalez,-3333,1100,1,1,0.9209514379792305,0.07904856202076953,
984,2019-01-18,6660,Jorge Linares,Pablo Cesar Cano,-2500,1200,1,1,0.9259259259259258,0.07407407407407407,
984,2019-01-18,6656,Amanda Serrano,Eva Voraberger,-5000,1400,1,1,0.9363295880149812,0.06367041198501872,
984,2019-01-18,6659,Bryant Jennings,Oscar Rivas,-227,175,1,1,0.6562417871222076,0.3437582128777924,
984,2019-01-18,6658,Artur Akavov,Demetrius Andrade,1600,-10000,1,1,0.0560799555802332,0.9439200444197667,
984,2019-01-18,6709,Carlos Adames,Juan Ruiz,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
984,2019-01-18,6708,Jason Sosa,Moises Delgadillo,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
984,2019-01-18,6712,Jessie Cris Rosales,Shakur Stevenson,1200,-2500,1,1,0.07407407407407407,0.9259259259259258,
984,2019-01-18,6711,Fazliddin Gaibnazarov,Ricardo Garcia,-5000,1400,1,1,0.9363295880149812,0.06367041198501872,
984,2019-01-18,6710,Hector Ruben Ambriz Suarez,Robson Conceicao,1400,-5000,1,1,0.06367041198501872,0.9363295880149812,
984,2019-01-18,6704,Ryohei Takahashi,Tj Doheny,1200,-2500,1,1,0.07407407407407407,0.9259259259259258,
973,2019-01-19,6734,Boldizsar Balazs Czagler,Kem Ljungquist,1000,-2500,1,1,0.08637873754152824,0.9136212624584718,
973,2019-01-19,6661,Badou Jack,Marcus Browne,-189,150,1,1,0.6204858831254104,0.3795141168745897,
973,2019-01-19,6724,Abdul Khattab,Oliver Flodin,175,-250,1,1,0.3373493975903614,0.6626506024096386,
973,2019-01-19,6721,Lolenga Mock,Mateo Damian Veron,-10000,1800,1,1,0.9495252373813095,0.050474762618690654,
973,2019-01-19,6720,Dominik Musil,Kem Ljungquist,550,-1000,1,1,0.14473684210526316,0.8552631578947368,
973,2019-01-19,6719,Alesia Graf,Dina Thorslund,1400,-5000,1,1,0.06367041198501872,0.9363295880149812,
973,2019-01-19,6733,Dennis Ceylan,Jesus Sanchez,-303,225,1,1,0.7096018735362997,0.2903981264637002,
973,2019-01-19,6723,Carlos Buitrago,Genisis Libranza,800,-1667,1,1,0.10536672629695885,0.8946332737030412,
973,2019-01-19,6722,Jayar Inson,Jonathan Steele,-833,500,1,1,0.8426909458775923,0.1573090541224077,
973,2019-01-19,6713,George Kambosos Jr,Rey Perez,-10000,1600,1,1,0.9439200444197667,0.0560799555802332,
973,2019-01-19,6736,Alberto Guevara,Hugo Ruiz,550,-1000,1,1,0.14473684210526316,0.8552631578947368,
973,2019-01-19,6714,Hugo Ruiz,Jhack Tepora,550,-1000,1,1,0.14473684210526316,0.8552631578947368,
973,2019-01-19,6715,Nordine Oubaali,Rau'shee Warren,-455,300,1,1,0.7663157894736842,0.23368421052631577,
972,2019-01-20,4412,Adrien Broner,Manny Pacquiao,275,-357,1,1,0.25448976750661284,0.7455102324933872,
987,2019-01-26,6662,Jamie Munguia,Takeshi Inoue,-5000,1400,1,1,0.9363295880149812,0.06367041198501872,
987,2019-01-26,6834,Sanae Jah,Sarah Bormann,350,-625,1,1,0.2049469964664311,0.795053003533569,
987,2019-01-26,6833,Ahmad Ali,Denis Krieger,-909,500,1,1,0.843880550827789,0.15611944917221104,
987,2019-01-26,6835,Przemyslaw Opalach,Vincent Feigenbutz,750,-2000,1,1,0.1099476439790576,0.8900523560209423,
987,2019-01-26,6854,Marlon Olea,Stephen Fulton,1000,-2500,1,1,0.08637873754152824,0.9136212624584718,
